word,feminine,neuter,comparative,superlative,adverb,declension,adj_stem
consensus,consensa,consensum,consensior,,,12,consens
phoenix,phoenix,phoenix,phoenicior,,,3,phoenic
neuter,neutra,neutrum,neutrior,,,12,neutr
anterior,anterior,anterius,anteriorior,,,12,anterior
servus,serva,servum,servior,,,12,serv
exterior,exterior,exterius,exteriorior,,,12,exterior
interior,interior,interius,interiorior,,,12,interior
complex,complex,complex,complicior,,,3,complic
integer,integra,integrum,integrior,integerrimus,,12,integr
unus,una,unum,unior,,,12,un
foetus,foeta,foetum,foetior,,,12,foet
alter,altera,alterum,alterior,,,12,alter
accusabilis,accusabilis,accusabile,accusabilior,,,3,accusabil
multicolor,multicolor,multicolor,multicolorior,,,3,multicolor
pauper,pauper,pauper,pauperior,pauperrimus,,3,pauper
dis,dis,dis,ditior,ditissimus,,3,dit
alumnus,alumna,alumnum,alumnior,,,12,alumn
romanus,romana,romanum,romanior,,romane,12,roman
Christianus,Christiana,Christianum,Christianior,,,12,Christian
frigidus,frigida,frigidum,frigidior,frigidissimus,frigide,12,frigid
sagittarius,sagittaria,sagittarium,sagittariior,,,12,sagittari
veteranus,veterana,veteranum,veteranior,,,12,veteran
vetus,vetus,vetus,vetustior,vetustissimus,,3,veter
sufflavus,sufflava,sufflavum,sufflavior,,,12,sufflav
subniger,subnigra,subnigrum,subnigrior,,,12,subnigr
exoticus,exotica,exoticum,exoticior,,,12,exotic
verus,vera,verum,verior,verissimus,vere,12,ver
zodiacus,zodiaca,zodiacum,zodiacior,,,12,zodiac
amphibius,amphibia,amphibium,amphibiior,,,12,amphibi
Latinus,Latina,Latinum,Latinior,,Latine,12,Latin
librarius,libraria,librarium,librariior,,,12,librari
latus,lata,latum,latior,latissimus,late,12,lat
liber,libera,liberum,liberior,liberrimus,libere,12,liber
magicus,magica,magicum,magicior,,,12,magic
animalis,animalis,animale,animalior,,,3,animal
polaris,polaris,polare,polarior,,,3,polar
philosophus,philosopha,philosophum,philosophior,,philosophe,12,philosoph
abominabilis,abominabilis,abominabile,abominabilior,,,3,abominabil
geminus,gemina,geminum,geminior,,,12,gemin
sinister,sinistra,sinistrum,sinistrior,sinistimus,,12,sinistr
cordipugus,cordipuga,cordipugum,cordipugior,,,12,cordipug
reus,rea,reum,reior,,,12,re
primus,prima,primum,primior,,primo,12,prim
rhetoricus,rhetorica,rhetoricum,rhetoricoteros,,,12,rhetoric
alius,alia,aliud,alteriior,,,12,alteri
mundus,munda,mundum,mundior,mundissimus,munditer,12,mund
ominosus,ominosa,ominosum,ominosior,,,12,ominos
sons,sons,sons,sontior,,,3,sont
atomus,atoma,atomum,atomior,,,12,atom
australis,australis,australe,australior,australissimus,,3,austral
infans,infans,infans,infantior,infantissimus,,3,infant
facetus,faceta,facetum,facetior,facetissimus,,12,facet
togatus,togata,togatum,togatior,,,12,togat
albus,alba,album,albior,albissimus,,12,alb
anxius,anxia,anxium,magis anxius,maxime anxius,,12,anxi
filialis,filialis,filiale,filialior,,,3,filial
bonus,bona,bonum,melior,optimus,bene,12,bon
secundus,secunda,secundum,secundior,,,12,secund
amicus,amica,amicum,amicior,amicissimus,amice,12,amic
masculinus,masculina,masculinum,masculinior,,,12,masculin
fortis,fortis,forte,fortior,fortissimus,fortiter,3,fort
manus,mana,manum,manior,,,12,man
Graecus,Graeca,Graecum,Graecior,,,12,Graec
altus,alta,altum,altior,altissimus,alte,12,alt
clarus,clara,clarum,clarior,clarissimus,clare,12,clar
simplex,simplex,simplex,simplicior,simplicissimus,simpliciter,3,simplic
duplex,duplex,duplex,duplicior,,dupliciter,3,duplic
arcanus,arcana,arcanum,arcanior,,,12,arcan
