word,gender,irregular,pluralia_tantum
encyclopaedia_encyclopaediae,f,fa,fa
thesaurus_thesauri,m,fa,fa
aquila_aquilae,f,fa,fa
fabella_fabellae,f,fa,fa
abaculus_abaculi,m,fa,fa
abacus_abaci,m,fa,fa
abactor_abactoris,m,fa,fa
abbreviator_abbreviatoris,m,fa,fa
abductor_abductoris,m,fa,fa
abdomen_abdominis,n,fa,fa
abnegator_abnegatoris,m,fa,fa
abomasum_abomasi,n,fa,fa
abscissa_abscissae,f,fa,fa
millennium_millennii,n,fa,fa
raptor_raptoris,m,fa,fa
absinthium_absinthii,n,fa,fa
acceptor_acceptoris,m,fa,fa
accipiter_accipitris,m,fa,fa
lens_lentis,f,fa,fa
lens_lendis,f,fa,fa
color_coloris,m,fa,fa
acicula_aciculae,f,fa,fa
dies_diei,mf,fa,fa
os_oris,n,fa,fa
os_ossis,n,fa,fa
Israel_Israel,m,fa,fa
consensus_consensus,m,fa,fa
acacia_acaciae,f,fa,fa
comma_commatis,n,fa,fa
colon_coli,n,fa,fa
Niger_Nigri,m,fa,fa
Niger_Nigris,m,fa,fa
gas_gasis,n,fa,fa
acanthus_acanthi,m,fa,fa
pluvia_pluviae,f,fa,fa
accumulator_accumulatoris,m,fa,fa
phoenix_phoenicis,mf,fa,fa
index_indicis,mf,fa,fa
Niue_Niues,f,fa,fa
stylus_styli,m,fa,fa
citrus_citri,f,fa,fa
tuba_tubae,f,fa,fa
dictionarium_dictionarii,n,fa,fa
humor_humoris,m,fa,fa
animal_animalis,n,fa,fa
sol_solis,m,fa,fa
zebra_zebrae,f,fa,fa
lama_lamae,f,fa,fa
copula_copulae,f,fa,fa
species_speciei,f,fa,fa
as_assis,m,fa,fa
martyr_martyris,mf,fa,fa
vertebra_vertebrae,f,fa,fa
pupa_pupae,f,fa,fa
alligator_alligatoris,m,fa,fa
calculator_calculatoris,m,fa,fa
sepia_sepiae,f,fa,fa
minister_ministri,m,fa,fa
pancreas_pancreatis,n,fa,fa
abalienatio_abalienationis,f,fa,fa
abavus_abavi,m,fa,fa
abolla_abollae,f,fa,fa
abdicatio_abdicationis,f,fa,fa
Abdera_Abderorum,fn,fa,tr
lupus_lupi,m,fa,fa
familia_familiae,f,fa,fa
verres_verris,m,fa,fa
ver_veris,n,fa,fa
capital_capitalis,n,fa,fa
pyramis_pyramidis,f,fa,fa
Manitoba_Manitobae,f,fa,fa
Saskatchewan_Saskatchewanis,f,fa,fa
Alberta_Albertae,f,fa,fa
Ontario_Ontarionis,f,fa,fa
chemia_chemiae,f,fa,fa
magia_magiae,f,fa,fa
credendum_credendi,n,fa,fa
servus_servi,m,fa,fa
regina_reginae,f,fa,fa
torta_tortae,f,fa,fa
larva_larvae,f,fa,fa
darmstadtium_darmstadtii,n,fa,fa
vapor_vaporis,m,fa,fa
er_eris,mf,fa,fa
icon_iconis,f,fa,fa
conductor_conductoris,m,fa,fa
factor_factoris,m,fa,fa
actor_actoris,m,fa,fa
apparatus_apparatus,m,fa,fa
camera_camerae,f,fa,fa
complex_complicis,mf,fa,fa
asylum_asyli,n,fa,fa
candor_candoris,m,fa,fa
era_erae,f,fa,fa
analysis_analysis,f,fa,fa
basis_basis,f,fa,fa
box_bocis,m,fa,fa
octopus_octopodis,m,fa,fa
apex_apicis,m,fa,fa
rumor_rumoris,m,fa,fa
ibex_ibicis,m,fa,fa
penis_penis,m,fa,fa
lynx_lyncis,mf,fa,fa
laser_laseris,n,fa,fa
fox_focis,f,fa,fa
doctor_doctoris,m,fa,fa
far_farris,n,fa,fa
Europe_Europes,f,fa,fa
sal_salis,mn,fa,fa
dictator_dictatoris,m,fa,fa
hyperbole_hyperboles,f,fa,fa
mare_maris,n,fa,fa
neutron_neutronis,m,fa,fa
proton_protonis,m,fa,fa
hallux_hallucis,m,fa,fa
rhinoceros_rhinocerotis,m,fa,fa
agora_agorae,f,fa,fa
genitor_genitoris,m,fa,fa
locator_locatoris,m,fa,fa
masseter_masseteris,m,fa,fa
Ursula_Ursulae,f,fa,fa
ile_ilis,n,fa,fa
polygonum_polygoni,n,fa,fa
fulcrum_fulcri,n,fa,fa
senatus_senatus,m,fa,fa
oxygenium_oxygenii,n,fa,fa
flos_floris,m,fa,fa
arbor_arboris,f,fa,fa
cor_cordis,n,fa,fa
musica_musicae,f,fa,fa
beta_betae,fn,fa,fa
zeta_zetae,f,fa,fa
iota_iotae,fn,fa,fa
idea_ideae,f,fa,fa
talo_talonis,m,fa,fa
taurus_tauri,m,fa,fa
casa_casae,f,fa,fa
phylum_phyli,n,fa,fa
genus_generis,n,fa,fa
helium_helii,n,fa,fa
chaos_chai,n,fa,fa
uva_uvae,f,fa,fa
ventus_venti,m,fa,fa
ventus_ventus,m,fa,fa
nucleus_nuclei,m,fa,fa
area_areae,f,fa,fa
echo_echus,f,fa,fa
lithium_lithii,n,fa,fa
beryllium_beryllii,n,fa,fa
sulfur_sulfuris,n,fa,fa
phosphorus_phosphori,m,fa,fa
scandium_scandii,n,fa,fa
chromium_chromii,n,fa,fa
calcium_calcii,n,fa,fa
argon_argi,n,fa,fa
titanium_titanii,n,fa,fa
vanadium_vanadii,n,fa,fa
magnesium_magnesii,n,fa,fa
germanium_germanii,n,fa,fa
gallium_gallii,n,fa,fa
selenium_selenii,n,fa,fa
rubidium_rubidii,n,fa,fa
aluminium_aluminii,n,fa,fa
zirconium_zirconii,n,fa,fa
neon_nei,n,fa,fa
niobium_niobii,n,fa,fa
technetium_technetii,n,fa,fa
strontium_strontii,n,fa,fa
ruthenium_ruthenii,n,fa,fa
yttrium_yttrii,n,fa,fa
cadmium_cadmii,n,fa,fa
rhodium_rhodii,n,fa,fa
palladium_palladii,n,fa,fa
tellurium_tellurii,n,fa,fa
praseodymium_praseodymii,n,fa,fa
lanthanum_lanthani,n,fa,fa
indium_indii,n,fa,fa
xenon_xeni,n,fa,fa
neodymium_neodymii,n,fa,fa
barium_barii,n,fa,fa
caesium_caesii,n,fa,fa
samarium_samarii,n,fa,fa
promethium_promethii,n,fa,fa
gadolinium_gadolinii,n,fa,fa
europium_europii,n,fa,fa
dysprosium_dysprosii,n,fa,fa
terbium_terbii,n,fa,fa
thulium_thulii,n,fa,fa
cerium_cerii,n,fa,fa
tantalum_tantali,n,fa,fa
lutetium_lutetii,n,fa,fa
erbium_erbii,n,fa,fa
holmium_holmii,n,fa,fa
rhenium_rhenii,n,fa,fa
hafnium_hafnii,n,fa,fa
ytterbium_ytterbii,n,fa,fa
osmium_osmii,n,fa,fa
thallium_thallii,n,fa,fa
iridium_iridii,n,fa,fa
polonium_polonii,n,fa,fa
francium_francii,n,fa,fa
platinum_platini,n,fa,fa
thorium_thorii,n,fa,fa
actinium_actinii,n,fa,fa
protactinium_protactinii,n,fa,fa
neptunium_neptunii,n,fa,fa
americium_americii,n,fa,fa
uranium_uranii,n,fa,fa
radium_radii,n,fa,fa
curium_curii,n,fa,fa
radon_radi,n,fa,fa
plutonium_plutonii,n,fa,fa
californium_californii,n,fa,fa
berkelium_berkelii,n,fa,fa
einsteinium_einsteinii,n,fa,fa
nobelium_nobelii,n,fa,fa
lawrencium_lawrencii,n,fa,fa
mendelevium_mendelevii,n,fa,fa
fermium_fermii,n,fa,fa
rutherfordium_rutherfordii,n,fa,fa
seaborgium_seaborgii,n,fa,fa
bohrium_bohrii,n,fa,fa
hassium_hassii,n,fa,fa
roentgenium_roentgenii,n,fa,fa
ununquadium_ununquadii,n,fa,fa
dubnium_dubnii,n,fa,fa
meitnerium_meitnerii,n,fa,fa
ununtrium_ununtrii,n,fa,fa
ununhexium_ununhexii,n,fa,fa
ununoctium_ununoctii,n,fa,fa
ununseptium_ununseptii,n,fa,fa
ununpentium_ununpentii,n,fa,fa
accentor_accentoris,m,fa,fa
deuterium_deuterii,n,fa,fa
drachma_drachmae,f,fa,fa
Arcadia_Arcadiae,f,fa,fa
Phocis_Phocidis,f,fa,fa
error_erroris,m,fa,fa
foetus_foetus,m,fa,fa
Pella_Pellae,f,fa,fa
dator_datoris,m,fa,fa
laus_laudis,f,fa,fa
lexicon_lexici,n,fa,fa
mus_muris,mf,fa,fa
generatrix_generatricis,f,fa,fa
generator_generatoris,m,fa,fa
ignis_ignis,m,fa,fa
onus_oneris,n,fa,fa
spectrum_spectri,n,fa,fa
laurus_lauri,f,fa,fa
labor_laboris,m,fa,fa
laudanum_laudani,n,fa,fa
laudator_laudatoris,m,fa,fa
simulacrum_simulacri,n,fa,fa
accusatio_accusationis,f,fa,fa
accusans_accusantis,m,fa,fa
cherub_cherub,m,fa,fa
multicolor_multicoloris,f,fa,fa
mania_maniae,f,fa,fa
textile_textilis,n,fa,fa
promontorium_promontorii,n,fa,fa
smegma_smegmatis,n,fa,fa
acetabulum_acetabuli,n,fa,fa
acetum_aceti,n,fa,fa
apotheosis_apotheosis,f,fa,fa
phalanx_phalangis,f,fa,fa
calculus_calculi,m,fa,fa
algebra_algebrae,f,fa,fa
aqua_aquae,f,fa,fa
torus_tori,m,fa,fa
testa_testae,f,fa,fa
vector_vectoris,m,fa,fa
operator_operatoris,m,fa,fa
matrix_matricis,f,fa,fa
Florida_Floridae,f,fa,fa
onomatopoeia_onomatopoeiae,f,fa,fa
nexus_nexus,m,fa,fa
Mantua_Mantuae,f,fa,fa
Virginia_Virginiae,f,fa,fa
sulphur_sulphuris,n,fa,fa
Lemuria_Lemuriorum,n,fa,tr
Atlantis_Atlantidis,f,fa,fa
puer_pueri,m,fa,fa
papyrus_papyri,mf,fa,fa
Caserta_Casertae,f,fa,fa
ola_olae,f,fa,fa
Imperia_Imperiae,f,fa,fa
Latina_Latinae,f,fa,fa
parma_parmae,f,fa,fa
Messenia_Messeniae,f,fa,fa
Argolis_Argolidis,f,fa,fa
Laconia_Laconiae,f,fa,fa
Cyclades_Cycladum,f,fa,tr
Lesbos_Lesbi,f,fa,fa
lumen_luminis,n,fa,fa
candela_candelae,f,fa,fa
bunion_bunii,n,fa,fa
lux_lucis,f,fa,fa
insula_insulae,f,fa,fa
radius_radii,m,fa,fa
propolis_propolis,m,fa,fa
tuberculosis_tuberculoseos,f,fa,fa
